file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
05,0.0,3222.60641723356,corpus,-57.26424854388213,-57.165447845343024,33.884716631392536,10.635331170612575
10,0.0,2611.583628117914,corpus,-58.43393271506138,-59.63703008233892,31.82736418192687,10.249476205789849
01,0.0,1830.0762811791383,corpus,-58.10889687882497,-58.81582147746077,31.274994479947434,11.21266462783618
12,0.0,2042.4310430839002,corpus,-57.35109648800693,-57.75137202027156,26.131095430195895,11.238541336766973
08,0.0,2261.3680272108845,corpus,-57.90408469202298,-58.88641185437834,18.598974430176327,10.356673922344518
09,0.0,1832.557641723356,corpus,-59.240717902824464,-60.70250540377687,16.394449394563665,9.885590629973011
17,0.0,2086.4953514739227,corpus,-56.35284447639588,-56.45217827209286,12.352828192594645,11.71208657697992
07,0.0,3484.902426303855,corpus,-57.86506929897558,-57.867536177216735,11.249665586186461,11.28290617882034
16,0.0,3702.559546485261,corpus,-58.07490493064258,-58.47722455031858,10.793409682455229,10.786490026283342
15,0.0,1731.2124943310657,corpus,-57.154429560827396,-57.18506061249406,10.27968322262122,11.424472056184165
06,0.0,3782.7737641723356,corpus,-57.138218818484866,-57.22150780915782,10.167324157656877,11.388090888221369
03,0.0,2723.0372562358275,corpus,-56.79454947411716,-57.13900474330218,9.798485392772847,12.016952643050494
13,0.0,2632.584036281179,corpus,-56.59690493736183,-56.85509477215567,9.721393608481305,10.985625870080588
11,0.0,1994.6055102040816,corpus,-57.54260231323416,-58.1556839420337,8.79328195522328,10.745531297075516
14,0.0,1807.7437641723357,corpus,-58.44716607476739,-59.32285518241662,8.31047148282075,10.495605503859878
02,0.0,2135.3395238095236,corpus,-57.42624593741512,-57.621756621028354,7.78230051413416,11.5042830066961
04,0.0,2666.5137641723354,corpus,-58.813734056875845,-58.59878346040947,7.517680887645126,10.739533268914736
